danceability,energy,tempo,loudness,valence,track_name,artist_name,genre,Cluster,Mood
0.649,0.682,117.074,-13.391,0.252,Time for a Girlfriend,Tom Papa,Comedy,3,😌 Chill / Neutral
0.798,0.732,165.036,-6.862,0.908,Closer,The Palms,Soul,0,🎉 Party / Happy
0.213,0.21,172.24,-11.888,0.0774,Some Day my Prince will come,Larry Morey,Movie,1,😢 Sad / Acoustic
0.649,0.429,96.592,-9.858,0.76,Gentle on My Mind,Dean Martin,Jazz,0,🎉 Party / Happy
0.483,0.446,80.093,-9.417,0.403,Anthems For A Seventeen Year-Old Girl,Broken Social Scene,Alternative,3,😌 Chill / Neutral
0.433,0.73,84.138,-4.933,0.346,Don't Dream It's Over,The Head and the Heart,Pop,3,😌 Chill / Neutral
0.41,0.959,193.155,-4.563,0.83,The Rock Show,blink-182,Pop,2,🎸 Energetic / Hype
0.397,0.92,95.031,-5.689,0.225,My Machete,Tsunami Bomb,Ska,3,😌 Chill / Neutral
0.467,0.533,105.004,-9.059,0.106,Chameleon Skin,The Flatliners,Folk,3,😌 Chill / Neutral
0.517,0.38,119.716,-11.707,0.305,If You Can Dream - Karaoke Vocal,Jodi Benson,Movie,3,😌 Chill / Neutral
0.697,0.518,77.824,-13.116,0.843,Hurt At Work,The Jerky Boys,Comedy,0,🎉 Party / Happy
0.485,0.583,75.929,-6.685,0.226,27 Hours,BANKS,R&B,3,😌 Chill / Neutral
0.849,0.705,92.706,-4.671,0.673,Dusted 'N' Disgusted,E-40,Hip-Hop,0,🎉 Party / Happy
0.692,0.92,93.188,-4.136,0.935,Lole Lolaila,Cardenales Del Exito,Reggaeton,0,🎉 Party / Happy
0.478,0.598,142.898,-7.334,0.383,La Enfermedad,Sanluis,Reggaeton,2,🎸 Energetic / Hype
0.183,0.0541,82.239,-25.905,0.122,"Carmen (1997 - Remaster), Act I: La cloche a sonné....Dans l'air",Georges Bizet,Opera,1,😢 Sad / Acoustic
0.573,0.717,140.035,-6.821,0.335,In A Drawer,Band of Horses,Indie,2,🎸 Energetic / Hype
0.471,0.532,114.132,-8.14,0.138,I Will Be,Florence + The Machine,Folk,3,😌 Chill / Neutral
